0	0123 0 0
1	0123 0 1
1	0213
3	0123 0 2
1	1203
3	1023
3	2013
7	0123 1 3
1	0312
3	0132
3	0231
11	0123 0 3
12	0123 0 2
13	0123 1 3
13	0213
15	0123 1 4
1	1302
3	1032
12	0132
13	0132
3	1230
11	1023
13	1203
15	1023
3	3012
7	0132
13	0312
15	0132
13	1302
15	1032
30	0123 1 4
31	0123 1 5
1	2301
12	0231
3	2031
13	0231
3	2130
13	2103
11	2013
15	2013
3	3021
13	0321
7	0231
15	0231
13	2301
30	0213
15	2031
31	0213
3	3120
13	3102
13	3201
30	0312
7	1230
15	1230
15	2130
31	1203
11	3012
15	3012
15	3021
31	0312
15	3120
31	1302
31	2301
63	0123 1 6
